date,airline,deptime,arrtime,price
2023-08-08,아시아나항공,12:50,13:50,"98,700"
2023-08-08,에어부산,12:50,13:50,"98,700"
2023-08-08,대한항공,14:00,15:05,"91,700"
2023-08-08,대한항공,14:00,15:05,"110,700"
2023-08-08,대한항공,14:00,15:05,"170,700"
2023-08-08,에어부산,14:20,15:25,"92,680"
2023-08-08,아시아나항공,14:20,15:25,"98,700"
2023-08-08,에어부산,14:20,15:25,"98,700"
2023-08-08,티웨이항공,14:50,15:50,"86,000"
2023-08-08,티웨이항공,14:50,15:50,"98,700"
2023-08-08,에어부산,15:40,16:40,"90,960"
2023-08-08,아시아나항공,15:40,16:40,"98,700"
2023-08-08,에어부산,15:40,16:40,"98,700"
2023-08-08,대한항공,16:00,17:05,"91,700"
2023-08-08,대한항공,16:00,17:05,"110,700"
2023-08-08,에어부산,16:40,17:40,"90,960"
2023-08-08,아시아나항공,16:40,17:40,"98,700"
2023-08-08,에어부산,16:40,17:40,"98,700"
2023-08-08,대한항공,17:20,18:25,"91,700"
2023-08-08,대한항공,17:20,18:25,"110,700"
2023-08-08,대한항공,17:20,18:25,"170,700"
2023-08-08,에어부산,17:40,18:40,"90,960"
2023-08-08,아시아나항공,17:40,18:40,"98,700"
2023-08-08,에어부산,17:40,18:40,"98,700"
2023-08-08,티웨이항공,18:20,19:20,"86,000"
2023-08-08,티웨이항공,18:20,19:20,"98,700"
2023-08-08,에어부산,19:00,20:00,"84,940"
2023-08-08,아시아나항공,19:00,20:00,"98,700"
2023-08-08,에어부산,19:00,20:00,"98,700"
2023-08-08,대한항공,19:25,20:35,"91,700"
2023-08-08,대한항공,19:25,20:35,"110,700"
2023-08-08,진에어,19:40,20:40,"84,600"
2023-08-08,진에어,19:40,20:40,"100,700"
2023-08-08,제주항공,19:45,20:45,"85,600"
2023-08-08,제주항공,19:45,20:45,"98,700"
2023-08-08,진에어,20:05,21:05,"84,600"
2023-08-08,진에어,20:05,21:05,"100,700"
2023-08-08,에어부산,20:20,21:35,"84,940"
2023-08-08,에어부산,20:20,21:35,"98,700"
2023-08-09,제주항공,06:20,07:20,"80,600"
