date,id,deptime,arrtime,price,direction
2023-08-02,2,07:20,08:25,87520,go
2023-08-02,2,07:20,08:25,98700,go
2023-08-02,1,08:05,09:10,81700,go
2023-08-02,1,08:05,09:10,110700,go
2023-08-02,3,08:30,09:30,86000,go
2023-08-02,3,08:30,09:30,98700,go
2023-08-02,2,08:40,09:40,89240,go
2023-08-02,2,08:40,09:40,98700,go
2023-08-02,1,09:00,10:05,91700,go
2023-08-02,1,09:00,10:05,110700,go
2023-08-02,2,09:40,10:40,89240,go
2023-08-02,2,09:40,10:40,98700,go
2023-08-02,1,10:25,11:30,101700,go
2023-08-02,1,10:25,11:30,110700,go
2023-08-02,1,10:25,11:30,170700,go
2023-08-02,2,11:00,12:00,93540,go
2023-08-02,2,11:00,12:00,98700,go
2023-08-02,3,11:40,12:40,90000,go
2023-08-02,3,11:40,12:40,98700,go
2023-08-02,1,12:20,13:25,101700,go
2023-08-02,1,12:20,13:25,110700,go
2023-08-02,2,12:50,13:50,97840,go
2023-08-02,2,12:50,13:50,98700,go
2023-08-02,1,14:00,15:05,91700,go
2023-08-02,1,14:00,15:05,110700,go
2023-08-02,2,14:20,15:25,93540,go
2023-08-02,2,14:20,15:25,98700,go
2023-08-02,3,14:50,15:50,86000,go
2023-08-02,3,14:50,15:50,98700,go
2023-08-02,1,16:00,17:05,91700,go
2023-08-02,1,16:00,17:05,110700,go
2023-08-02,2,16:40,17:40,88380,go
2023-08-02,2,16:40,17:40,98700,go
2023-08-02,1,17:20,18:25,91700,go
2023-08-02,1,17:20,18:25,110700,go
2023-08-02,3,18:20,19:20,86000,go
2023-08-02,3,18:20,19:20,98700,go
2023-08-02,2,19:00,20:00,89240,go
2023-08-02,2,19:00,20:00,98700,go
2023-08-02,1,19:25,20:35,91700,go
2023-08-02,1,19:25,20:35,110700,go
2023-08-02,4,19:40,20:40,84600,go
2023-08-02,4,19:40,20:40,100700,go
