name,star,img,link
하운드호텔 해운대 시그니처,8.7,https://search.pstatic.net/common/?src=https://media.datahc.com/HI695333006.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AHound_Hotel_Signature_Haeundae&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
호텔 케니 기장,7.9,https://search.pstatic.net/common/?src=https://media.datahc.com/HI731347405.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AHotel_Kenny_Gijang&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
호텔 라온,8.6,https://search.pstatic.net/common/?src=https://media.datahc.com/HI587970296.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AHotel_Laon&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
오션 더 포인트 호텔,8.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI742534317.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AOcean_The_Point_Hotel&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
지엔비 호텔,8.4,https://search.pstatic.net/common/?src=https://media.datahc.com/HI319808967.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AGNB_Hotel&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
이비스 앰배서더 부산시티센터,8.1,https://search.pstatic.net/common/?src=https://media.datahc.com/HI367051779.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AIbis_Ambassador_Busan_City_Centre&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
해운대센트럴호텔,7.9,https://search.pstatic.net/common/?src=https://media.datahc.com/HI708457254.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AHaeundae_Central_Hotel&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
리베로 호텔,7.8,https://search.pstatic.net/common/?src=https://media.datahc.com/HI276745133.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ALibero_Hotel_Haeundae&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
베스트루이스해밀턴호텔 오션테라스,8.3,https://search.pstatic.net/common/?src=https://media.datahc.com/HI742534289.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABest_Louis_Hamilton_Hotel_Ocean_Terrace&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
노스하버호텔,-1.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI805545401.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ANorthharbor_Hotel&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
베스트 루이스 해밀턴 해운대,8.4,https://search.pstatic.net/common/?src=https://media.datahc.com/HI604317325.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABest_Louis_Hamilton_Haeundae&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
페어필드 바이 메리어트 부산 송도 비치,8.6,https://search.pstatic.net/common/?src=https://media.datahc.com/HI602843587.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AFairfield_by_Marriott_Busan_Songdo_Beach&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
하운드 호텔 부산역,8.7,https://search.pstatic.net/common/?src=https://media.datahc.com/HI804754598.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AHound_Hotel_Busan_Station&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
스탠포드 호텔 부산,8.8,https://search.pstatic.net/common/?src=https://media.datahc.com/HI587509470.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AStanford_Hotel_Busan&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
서면 덴바스타 센트럴 호텔,-1.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI800953198.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ADen_Basta_Central_Hotel&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
사우스반데코호텔,7.6,https://search.pstatic.net/common/?src=https://media.datahc.com/HI802810931.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ASouth_Vandeco_Hotel&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
센텀 스위트 호텔,8.3,https://search.pstatic.net/common/?src=https://media.datahc.com/HI780209485.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ACentum_Suite_Hotel&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
호텔 아쿠아펠리스,7.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI711498526.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AHotel_Aqua_Palace&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
부산역 시티호텔,8.9,https://search.pstatic.net/common/?src=https://media.datahc.com/HI738365145.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABusan_Station_City_Hotel&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
호텔포레 더 스파,8.6,https://search.pstatic.net/common/?src=https://media.datahc.com/HI764300378.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AHotel_Foret_The_Spa&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
호텔포레 프리미어 남포점,8.6,https://search.pstatic.net/common/?src=https://media.datahc.com/HI548286447.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AHotel_Foret_Premier_Nampo&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
브라운도트 호텔 기장 연화리점,9.1,https://search.pstatic.net/common/?src=https://media.datahc.com/HI598060699.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABrown_Dot_Gijang_Yeonhwari&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
베이몬드 호텔 해운대,8.7,https://search.pstatic.net/common/?src=https://media.datahc.com/HI549909665.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABaymond_Hotel&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
선셋 비즈니스 호텔,7.9,https://search.pstatic.net/common/?src=https://media.datahc.com/HI544739577.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ASunset_Business_Hotel&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
해운대 블루스토리 호텔,8.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI786902815.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AHaeundae_Blue_Story&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
아르반 시티 호텔,8.6,https://search.pstatic.net/common/?src=https://media.datahc.com/HI506844291.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AArban_City_Hotel&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
에이치에비뉴 호텔 광안리 해변점,8.5,https://search.pstatic.net/common/?src=https://media.datahc.com/HI586455632.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AH_Avenue_Gwangan_Beach&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
비센트호텔,7.9,https://search.pstatic.net/common/?src=https://media.datahc.com/HI402156204.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AHotel_B_cent&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
브라운도트 호텔 시그니처 만덕점,8.9,https://search.pstatic.net/common/?src=https://media.datahc.com/HI629869756.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABrown_Dot_Hotel_Signature_Mandeok&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
브라운도트호텔 송정점,7.5,https://search.pstatic.net/common/?src=https://media.datahc.com/HI795325076.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABrown_Dot_Songjeong&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
베스트루이스해밀턴호텔 기장점,7.3,https://search.pstatic.net/common/?src=https://media.datahc.com/HI709131342.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABest_Louis_Hamilton_Hotel_Gijang&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
송정 호텔,8.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI755212418.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ASongjung_Hotel&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
브라운도트호텔 초읍점,6.4,https://search.pstatic.net/common/?src=https://media.datahc.com/HI795323554.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABrown_Dot_Choup&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
팔레드 시즈 콘도,8.3,https://search.pstatic.net/common/?src=https://media.datahc.com/HI779246039.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3APale_de_Cz_Condo&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
하운드 가든&테라스 호텔,8.4,https://search.pstatic.net/common/?src=https://media.datahc.com/HI770019300.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AHound_Garden_Terrace_Hotel&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
베이하운드호텔,8.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI595184835.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABay_Hound_Hotel&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
커넥트부산호텔,8.1,https://vertical.pstatic.net/vertical/static/hotel/common/blank.png,https://hotels.naver.com/item?hotelFileName=hotel%3AConnect_Busan_Hotel_Residence&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
그랜드베른호텔,-1.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI802217538.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AGrand_Bern_Hotel&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
브라운도트호텔 기장역점,-1.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI800813268.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABrown_Dot_Hotel_Gijang_Station&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
광수호텔,8.3,https://search.pstatic.net/common/?src=https://media.datahc.com/HI790806450.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AKwangsu_Hotel&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
더클럽호텔 기장연화리점,8.8,https://search.pstatic.net/common/?src=https://media.datahc.com/HI770791885.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AThe_Club_Hotel_Gigang_Yeonhwari&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
아크 블루 호텔 부산,8.8,https://search.pstatic.net/common/?src=https://media.datahc.com/HI506844678.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AArk_Blue_Hotel_Busan&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
코티스 앰배서더 호텔,-1.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI805696484.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ACOTICE_Ambassador_Hotel&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
시애틀비 호텔,8.6,https://search.pstatic.net/common/?src=https://media.datahc.com/HI592534876.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ASeattleB_Hotel&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
이비스 버젯 앰배서더 부산 해운대,8.2,https://search.pstatic.net/common/?src=https://media.datahc.com/HI330508321.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AIbis_Budget_Ambassador_Busan_Haeundae&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
